api_function_block,proposed_node_or_facade,status,source,licence,parameters,methods
FB_VN_ReadNeuralNetwork,Node_FB_VN_ReadNeuralNetwork,missing,,TC3 Vision Base,sFilePath: STRING [In]; ipDestNeuralNetwork: Reference To ITcVnNeuralNetwork [In]; aInputShape: Reference To TcVnArray33_UDINT [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadRegister_REAL,Node_FB_VN_ReadRegister_REAL,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nEndian: UINT [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; fValue: REAL [Out]; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadRegister_UDINT,Node_FB_VN_ReadRegister_UDINT,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nEndian: UINT [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; nValue: UDINT [Out]; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_ReadRegister_ULINT,Node_FB_VN_ReadRegister_ULINT,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nEndian: UINT [In]; bRead: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; nValue: ULINT [Out]; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_SSIM,Node_FB_VN_SSIM,missing,,TC3 Vision Matching,,Compute(ipSrcImage: ITcVnImage [In]; ipSSIM: Reference To ITcVnImage [In]): HRESULT; SetReference(ipImage: ITcVnImage [In]): HRESULT
FB_VN_SimpleCameraControl,Node_FB_VN_SimpleCameraControl,missing,,TC3 Vision Base,,GetCurrentImage(ipImage: Reference To ITcVnImage [In]): HRESULT; GetState(): ETcVnCameraState; Reset(): HRESULT; StartAcquisition(): HRESULT; StopAcquisition(): HRESULT; TriggerImage(): HRESULT
FB_VN_WriteCalibrationResult,Node_FB_VN_WriteCalibrationResult,missing,,TC3 Vision Base,sFilePath: STRING [In]; aCameraMatrix: Reference To TcVnMatrix3x3_LREAL [In]; aDistortionCoefficients: Reference To TcVnArray8_LREAL [In]; aRotationMatrix: Reference To TcVnMatrix3x3_LREAL [In]; aTranslationVector: Reference To TcVnVector3_LREAL [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteContainer,Node_FB_VN_WriteContainer,missing,,TC3 Vision Base,ipContainer: Reference To ITcVnContainer [In]; sFilePath: STRING [In]; eExportFormat: ETcVnContainerExportFormat [In] = TCVN_CEF_XML; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteImage,Node_FB_VN_WriteImage,missing,,TC3 Vision Base,ipImage: Reference To ITcVnImage [In]; sFilePath: STRING [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteMemory,Node_FB_VN_WriteMemory,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nLength: UINT [In]; pData: PVOID [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out]; nBytesWritten: UINT [Out],
FB_VN_WriteMlModel,Node_FB_VN_WriteMlModel,missing,,TC3 Vision Base,ipMlModel: Reference To ITcVnMlModel [In]; sFilePath: STRING [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteRegister_REAL,Node_FB_VN_WriteRegister_REAL,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; fValue: REAL [In]; nEndian: UINT [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteRegister_UDINT,Node_FB_VN_WriteRegister_UDINT,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nValue: UDINT [In]; nEndian: UINT [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteRegister_ULINT,Node_FB_VN_WriteRegister_ULINT,missing,,TC3 Vision Base,nAddress: GVCP_REGISTER_ADDRESS [In]; nValue: ULINT [In]; nEndian: UINT [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
FB_VN_WriteRegisters_UDINT,Node_FB_VN_WriteRegisters_UDINT,missing,,TC3 Vision Base,pAddressValuePairs: Pointer To GVCP_ADDRESS_VALUE_PAIR [In]; nArraySize: UINT [In]; nEndian: UINT [In]; bWrite: BOOL [In]; nTimeout: TIME [In] = VISION_ADS_TIMEOUT; bBusy: BOOL [Out]; bError: BOOL [Out]; nErrorId: UDINT [Out],
