api_interface,wrapper,status,scope,source,description,methods
ITcVnAccess_TcVnVector3_USINT,_ITcVnAccess_TcVnVector3_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector3_USINT values.,Get(aVector: Reference To TcVnVector3_USINT [In]): HRESULT; Set(aVector: Reference To TcVnVector3_USINT [In]): HRESULT
ITcVnAccess_TcVnVector4_DINT,_ITcVnAccess_TcVnVector4_DINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_DINT values.,Get(aVector: Reference To TcVnVector4_DINT [In]): HRESULT; Set(aVector: Reference To TcVnVector4_DINT [In]): HRESULT
ITcVnAccess_TcVnVector4_INT,_ITcVnAccess_TcVnVector4_INT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_INT values.,Get(aVector: Reference To TcVnVector4_INT [In]): HRESULT; Set(aVector: Reference To TcVnVector4_INT [In]): HRESULT
ITcVnAccess_TcVnVector4_LREAL,_ITcVnAccess_TcVnVector4_LREAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_LREAL values.,Get(aVector: Reference To TcVnVector4_LREAL [In]): HRESULT; Set(aVector: Reference To TcVnVector4_LREAL [In]): HRESULT
ITcVnAccess_TcVnVector4_REAL,_ITcVnAccess_TcVnVector4_REAL,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_REAL values.,Get(aVector: Reference To TcVnVector4_REAL [In]): HRESULT; Set(aVector: Reference To TcVnVector4_REAL [In]): HRESULT
ITcVnAccess_TcVnVector4_SINT,_ITcVnAccess_TcVnVector4_SINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_SINT values.,Get(aVector: Reference To TcVnVector4_SINT [In]): HRESULT; Set(aVector: Reference To TcVnVector4_SINT [In]): HRESULT
ITcVnAccess_TcVnVector4_UINT,_ITcVnAccess_TcVnVector4_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_UINT values.,Get(aVector: Reference To TcVnVector4_UINT [In]): HRESULT; Set(aVector: Reference To TcVnVector4_UINT [In]): HRESULT
ITcVnAccess_TcVnVector4_USINT,_ITcVnAccess_TcVnVector4_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for TcVnVector4_USINT values.,Get(aVector: Reference To TcVnVector4_USINT [In]): HRESULT; Set(aVector: Reference To TcVnVector4_USINT [In]): HRESULT
ITcVnAccess_UDINT,_ITcVnAccess_UDINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for UDINT values.,Get(nValue: Reference To UDINT [In]): HRESULT; Set(nValue: UDINT [In]): HRESULT
ITcVnAccess_UINT,_ITcVnAccess_UINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for UINT values.,Get(nValue: Reference To UINT [In]): HRESULT; Set(nValue: UINT [In]): HRESULT
ITcVnAccess_ULINT,_ITcVnAccess_ULINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for ULINT values.,Get(nValue: Reference To ULINT [In]): HRESULT; Set(nValue: ULINT [In]): HRESULT
ITcVnAccess_USINT,_ITcVnAccess_USINT,missing,typed_access_adapter; most operations also exposed by F_VN nodes,,Extends ITcUnknown; Offers an access interface for USINT values.,Get(nValue: Reference To USINT [In]): HRESULT; Set(nValue: USINT [In]): HRESULT
ITcVnBidirectionalIterator,_ITcVnBidirectionalIterator,unregistered,function_parameter; implement graph datatype for function coverage,src/sln/lib/mobject-graph-vision-pack/Datatypes/Interfaces/Containers/Iterators/ITcVnBidirectionalIterator/_ITcVnBidirectionalIterator.TcPOU,Extends ITcVnForwardIterator; Offers an interface for a bidirectional iterator.,Decrement(): HRESULT
ITcVnBitmapExport,_ITcVnBitmapExport,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcUnknown; Interface for exporting an image as a Windows Bitmap (BMP).,GetBitmapSize(nBitmapSize: Reference To ULINT [In]; nBitmapWidth: Reference To UDINT [In]; nBitmapHeight: Reference To UDINT [In]): HRESULT; GetBitmapImage(nBitmapSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]; nBitmapWidth: Reference To UDINT [In]; nBitmapHeight: Reference To UDINT [In]): HRESULT
ITcVnBitmapExportNotification,_ITcVnBitmapExportNotification,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface required for sending displayable images as ADS notifications,GetTimestamp(nTimestamp: Reference To LINT [In]): HRESULT; GetBitmapImageRpcUnlocked(nBitmapSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]; nBitmapWidth: Reference To UDINT [In]; nBitmapHeight: Reference To UDINT [In]): HRESULT
ITcVnBitmapExportRpcUnlocked,_ITcVnBitmapExportRpcUnlocked,missing,advanced_device_export_or_interface_method_access,,Extends ITcVnBitmapExport; Interface to export an image as a Windows Bitmap (BMP) into a given buffer by means of an unlocked remote procedure call.,GetBitmapImageRpcUnlocked(nBitmapSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]; nBitmapWidth: Reference To UDINT [In]; nBitmapHeight: Reference To UDINT [In]): HRESULT
ITcVnColorModel,_ITcVnColorModel,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcVnMlModel; Interface to train and classify an image color.,TrainImageColor(ipSrcImage: ITcVnImage [In]; nDifferentColors: UDINT [In]; ipMask: ITcVnImage [In]; nSkipPixels: UDINT [In]): HRESULT; ClassifyImageColor(ipSrcImage: ITcVnImage [In]; pipDestImage: Pointer To ITcVnImage [In]; fVariance: REAL [In]; fLuminanceWeight: REAL [In]): HRESULT
ITcVnContainer,_ITcVnContainer,registered,function_parameter; implement graph datatype for function coverage,src/sln/lib/mobject-graph-vision-pack/Datatypes/Interfaces/Containers/ITcVnContainer/_ITcVnContainer.TcPOU,Extends ITcUnknown; Offers an interface for an object container.,CheckIfBasicContainer(): HRESULT; CheckIfEmpty(): HRESULT; GetBidirectionalIterator(pipIterator: Pointer To ITcVnBidirectionalIterator [In]): HRESULT; GetElementNum(nElementNum: Reference To ULINT [In]): HRESULT; GetElementSize(nSize: Reference To ULINT [In]): HRESULT; GetElementTypeGuid(nTypeGuid: Reference To GUID [In]): HRESULT; GetExportSize(nExportSize: Reference To ULINT [In]): HRESULT; GetForwardIterator(pipIterator: Pointer To ITcVnForwardIterator [In]): HRESULT; GetRandomAccessIterator(pipIterator: Pointer To ITcVnRandomAccessIterator [In]): HRESULT; GetTypeGuid(nTypeGuid: Reference To GUID [In]): HRESULT; GetTypeName(sTypeName: STRING [In]; nMaxLen: UINT [In]): HRESULT
ITcVnCustomContainerOperation_ITcVnContainer,_ITcVnCustomContainerOperation_ITcVnContainer,missing,function_parameter; implement graph datatype for function coverage,,"Offers an interface for custom, elementwise container operations (for containers of containers) with up to 3 different containers.",Execute(ipElement1: ITcVnContainer [In]; ipElement2: ITcVnContainer [In]; ipElement3: ITcVnContainer [In]): HRESULT
ITcVnCustomContainerOperation_ITcVnForwardIterator,_ITcVnCustomContainerOperation_ITcVnForwardIterator,missing,function_parameter; implement graph datatype for function coverage,,"Offers an interface for custom, elementwise container operations with up to 3 different containers.",Execute(ipElement1: ITcVnForwardIterator [In]; ipElement2: ITcVnForwardIterator [In]; ipElement3: ITcVnForwardIterator [In]): HRESULT
ITcVnCustomElementCondition_ITcVnContainer,_ITcVnCustomElementCondition_ITcVnContainer,missing,function_parameter; implement graph datatype for function coverage,,Offers an interface for a custom condition computed for a container.,Condition(ipElement: ITcVnContainer [In]): BOOL
ITcVnCustomElementCondition_ITcVnForwardIterator,_ITcVnCustomElementCondition_ITcVnForwardIterator,missing,function_parameter; implement graph datatype for function coverage,,Offers an interface for a custom condition computed for an element represented by an ITcVnForwardIterator.,Condition(ipElement: ITcVnForwardIterator [In]): BOOL
ITcVnData,_ITcVnData,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for accessing data.,CheckIfCopy(): HRESULT; CheckIfImage(): HRESULT; GetSize(nSize: Reference To ULINT [In]): HRESULT; CheckDataPointer(): HRESULT; GetDataPointer(ppData: Pointer To PVOID [In]): HRESULT; ReleaseDataPointer(ppData: Pointer To PVOID [In]): HRESULT
ITcVnDataExport,_ITcVnDataExport,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcUnknown; Interface for exporting binary data.,GetSize(nSize: Reference To ULINT [In]): HRESULT; GetData(nSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT; GetDataIfNew(nSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT
ITcVnDataExportRpcUnlocked,_ITcVnDataExportRpcUnlocked,missing,advanced_device_export_or_interface_method_access,,Extends ITcVnDataExport; Interface for exporting binary data by means of an unlocked remote procedure call.,GetDataRpcUnlocked(nSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT; GetDataIfNewRpcUnlocked(nSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT
ITcVnDisplayableImage,_ITcVnDisplayableImage,registered,function_parameter; implement graph datatype for function coverage,src/sln/lib/mobject-graph-vision-pack/Datatypes/Interfaces/Images/ITcVnDisplayableImage/_ITcVnDisplayableImage.TcPOU,Extends ITcUnknown; Interface for displayable images.,
ITcVnFileImageProvider,_ITcVnFileImageProvider,missing,advanced_device_export_or_interface_method_access,,Extends ITcVnImageProvider; Interface for an image provider for images from outside realtime environment.,GetCurrentImageAndFileName(pipImage: Pointer To ITcVnImage [In]; sFileName: STRING [In]; nMaxLen: UINT [In]): HRESULT; TriggerImage(nSkipImages: DINT [In]): HRESULT; TriggerImageByName(sImageName: STRING [In]): HRESULT
ITcVnForwardIterator,_ITcVnForwardIterator,missing,function_parameter; implement graph datatype for function coverage,,Extends ITcVnIteratorBase; Offers an interface for a forward iterator.,CheckIfEqualTo(ipIterator: ITcVnForwardIterator [In]): HRESULT; GetContainer(pipContainer: Pointer To ITcVnContainer [In]): HRESULT; Increment(): HRESULT; SetContainer(ipContainer: ITcVnContainer [In]): HRESULT
ITcVnGevImageProvider,_ITcVnGevImageProvider,missing,advanced_device_export_or_interface_method_access,,Extends ITcVnImageProvider; Interface for a GigE Vision image provider.,GetCurrentGevImage(pipGevImage: Pointer To ITcIoGevImage [In]): HRESULT; GetCurrentImageWithGvspInfo(pipImage: Pointer To ITcVnImage [In]; stGvspInfo: Reference To GVSP_IMAGE_INFO [In]): HRESULT
ITcVnHistogramExport,_ITcVnHistogramExport,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for exporting a histogram for an image as an array.,GetHistogramSize(nHistogramSize: Reference To ULINT [In]): HRESULT; GetHistogramArray(nHistogramSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]): HRESULT; GetCustomHistogramSize(nHistogramSize: Reference To ULINT [In]; nBins: Reference To UDINT [In]): HRESULT; GetCustomHistogramArray(nHistogramSize: Reference To ULINT [In]; pDestBuffer: PVOID [In]; nBins: Reference To UDINT [In]; fLowerBound: Reference To LREAL [In]; fUpperBound: Reference To LREAL [In]): HRESULT
ITcVnImage,_ITcVnImage,registered,function_parameter; implement graph datatype for function coverage,src/sln/lib/mobject-graph-vision-pack/Datatypes/Interfaces/Images/ITcVnImage/_ITcVnImage.TcPOU,Extends ITcVnImageBase; Basic interface for images.,Init(ipImageBase: ITcVnImageBase [In]): HRESULT; GetRowPointer(nRowIndex: UDINT [In]; ppRow: Pointer To PVOID [In]): HRESULT; ReleaseRowPointer(ppRow: Pointer To PVOID [In]): HRESULT
ITcVnImageBase,_ITcVnImageBase,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Base interface for all image types.,GetImageData(pipImageData: Pointer To ITcVnData [In]): HRESULT; GetImageSize(nSize: Reference To ULINT [In]): HRESULT; GetWidth(nWidth: Reference To UDINT [In]): HRESULT; GetHeight(nHeight: Reference To UDINT [In]): HRESULT; GetXPadding(nXPadding: Reference To UINT [In]): HRESULT; GetYPadding(nYPadding: Reference To UINT [In]): HRESULT; GetPixelFormat(stPixelFormat: Reference To TcVnPixelFormat [In]): HRESULT; GetImageInfo(stImageInfo: Reference To TcVnImageInfo [In]): HRESULT
ITcVnImageProvider,_ITcVnImageProvider,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for an image provider.,CheckIfBusy(): HRESULT; CheckIfCameraConnected(): HRESULT; GetCurrentImage(pipImage: Pointer To ITcVnImage [In]): HRESULT; GetError(): HRESULT; OpenCamera(): HRESULT; CloseCamera(): HRESULT; StartAcquisition(): HRESULT; StopAcquisition(): HRESULT; SoftwareTrigger(): HRESULT; InitializeCamera(): HRESULT
ITcVnImageTimestamps,_ITcVnImageTimestamps,missing,advanced_device_export_or_interface_method_access,,Extends ITcUnknown; Interface for reading image timestamps.,GetTimestamps(nTimestamps: ULINT [In]; nArraySize: UDINT [In]; pTimestamps: Pointer To LINT [In]): HRESULT
ITcVnIteratorBase,_ITcVnIteratorBase,missing,iterator_foundation,,Extends ITcUnknown; Offers a base interface for iterators,CheckIfBegin(): HRESULT; CheckIfEnd(): HRESULT; GetValueSize(nSize: Reference To ULINT [In]): HRESULT; GetValueTypeGuid(nTypeGuid: Reference To GUID [In]): HRESULT; SetToBegin(): HRESULT; SetToEnd(): HRESULT
ITcVnIteratorCopyCreator,_ITcVnIteratorCopyCreator,missing,iterator_foundation,,Extends ITcUnknown; Offers an interface providing a method for creating a new iterator to the same position.,Create(pipIterator: Pointer To ITcVnForwardIterator [In]): HRESULT
